"Houston city, Texas",2312717
"San Antonio city, Texas",1511946
"Dallas city, Texas",1341075
"Austin city, Texas",950715
"Fort Worth city, Texas",874168
"El Paso city, Texas",683577
"Arlington city, Texas",396394
"Corpus Christi city, Texas",325605
"Plano city, Texas",286143
"Laredo city, Texas",260654
"Lubbock city, Texas",253888
"Irving city, Texas",240373
"Garland city, Texas",238002
"Amarillo city, Texas",199826
"Grand Prairie city, Texas",193837
"Brownsville city, Texas",183299
"McKinney city, Texas",181330
"Frisco city, Texas",177286
"Pasadena city, Texas",153520
"Killeen city, Texas",145482
"Mesquite city, Texas",143949
"McAllen city, Texas",142696
"Waco city, Texas",136436
"Denton city, Texas",136268
"Midland city, Texas",136089
"Carrollton city, Texas",135710
"Round Rock city, Texas",123678
"Abilene city, Texas",121885
"Pearland city, Texas",119940
"Beaumont city, Texas",119114
"Odessa city, Texas",116861
"Richardson city, Texas",116783
"College Station city, Texas",113564
"Lewisville city, Texas",106021
"Tyler city, Texas",104991
"League City city, Texas",104903
"Wichita Falls city, Texas",104747
"Allen city, Texas",100685
"San Angelo city, Texas",100119
"Edinburg city, Texas",90280
"Sugar Land city, Texas",88485
"Mission city, Texas",84424
"Conroe city, Texas",84378
"Bryan city, Texas",84021
"Longview city, Texas",81522
"Pharr city, Texas",79487
"New Braunfels city, Texas",79152
"Baytown city, Texas",76804
"Flower Mound town, Texas",76681
"Cedar Park city, Texas",75704
"Temple city, Texas",74503
"Missouri City city, Texas",74497
"Georgetown city, Texas",70685
"North Richland Hills city, Texas",70441
"Mansfield city, Texas",68928
"Victoria city, Texas",67106
"Harlingen city, Texas",65467
"Pflugerville city, Texas",63359
"San Marcos city, Texas",63071
"Rowlett city, Texas",62868
"Port Arthur city, Texas",55498
"Euless city, Texas",55174
"Grapevine city, Texas",53982
"DeSoto city, Texas",53568
"Galveston city, Texas",50497
"Wylie city, Texas",49826
"Bedford city, Texas",49486
"Leander city, Texas",49234
"Cedar Hill city, Texas",48710
"Texas City city, Texas",48558
"Keller city, Texas",47266
"Little Elm city, Texas",46548
"Burleson city, Texas",46145
"Haltom City city, Texas",44417
"Rockwall city, Texas",44208
"Kyle city, Texas",43480
"The Colony city, Texas",42721
"Coppell city, Texas",41941
"Sherman city, Texas",41917
"Huntsville city, Texas",41277
"Weslaco city, Texas",40358
"Schertz city, Texas",40092
"Friendswood city, Texas",39839
"Duncanville city, Texas",39487
"Lancaster city, Texas",39386
"Hurst city, Texas",39051
"Rosenberg city, Texas",37661
"Texarkana city, Texas",37333
"Farmers Branch city, Texas",37088
"San Juan city, Texas",36981
"Del Rio city, Texas",36006
"Lufkin city, Texas",35837
"La Porte city, Texas",35371
"Waxahachie city, Texas",35340
"Socorro city, Texas",34048
"Deer Park city, Texas",33891
"Nacogdoches city, Texas",33614
"Copperas Cove city, Texas",32706
"Southlake city, Texas",31824
"Harker Heights city, Texas",31075
"Weatherford city, Texas",30654
"Cleburne city, Texas",30230
"Cibolo city, Texas",29249
"Seguin city, Texas",28983
"Eagle Pass city, Texas",28945
"Big Spring city, Texas",27905
"Lake Jackson city, Texas",27473
"Greenville city, Texas",27443
"Colleyville city, Texas",26674
"Alvin city, Texas",26474
"Sachse city, Texas",25937
"Kingsville city, Texas",25482
"Hutto city, Texas",25367
"Balch Springs city, Texas",25357
"Midlothian city, Texas",25254
"University Park city, Texas",25201
"Paris city, Texas",24800
"Watauga city, Texas",24602
"San Benito city, Texas",24528
"Denison city, Texas",24380
"Corsicana city, Texas",23683
"Benbrook city, Texas",23590
"Kerrville city, Texas",23386
"Converse city, Texas",23375
"Marshall city, Texas",23195
"Saginaw city, Texas",23014
"Belton city, Texas",21734
"Corinth city, Texas",21152
"Stephenville city, Texas",20797
"Plainview city, Texas",20767
"Murphy city, Texas",20673
"Universal City city, Texas",20532
"Dickinson city, Texas",20359
"Forney city, Texas",20336
"Prosper town, Texas",20312
"Alamo city, Texas",19679
"Horizon City city, Texas",19562
"Angleton city, Texas",19544
